paper_id,标题,总结,分类,是否核心相关,相关性理由,载体设计_聚合物名称,载体设计_载体形态,载体设计_响应机制,负载物信息_名称,负载物信息_类型,负载物信息_形态状态,微生物指标_包埋效率,微生物指标_保护性能,微生物指标_释放后活性,微生物指标_泄露控制,释放特性_触发条件,释放特性_释放动力学
5b964d21-4d1d-4f27-b4e3-f99ec9147041,In vitro elution of vancomycin from biodegradable osteoconductive calcium phosphate-polycaprolactone composite beads for treatment of osteomyelitis,本研究开发了一种可生物降解的骨传导性CaP–PCL复合微球，作为治疗骨髓炎的局部抗生素载体。通过原位合成二水磷酸氢钙（DCP）–PCL或溶液混合β-磷酸三钙（bTCP）–PCL复合粉末，将1 wt.%和4 wt.%万古霉素（vancomycin）掺入其中，采用室温高压压实成型制备微球。在37°C PBS中体外释放实验表明，所有微球在4–11周内持续释放万古霉素，释放行为符合Peppas扩散控制模型。HPLC–MS分析与最低抑菌浓度（MIC）测试证实，高压处理未破坏万古霉素结构与活性。该复合材料具有高孔隙率与均匀基质结构，可实现长效控释，且在体内可完全降解，避免二次手术。研究证明，高压固结的CaP–PCL微球可作为热不稳定药物的可生物降解载体，适用于慢性骨感染的局部治疗。,"Drug Delivery, Synthetic Polymers, Polyesters",TRUE,使用可生物降解的磷酸钙-聚己内酯（CaP–PCL）复合微球作为载体，通过控制材料的孔隙率和均一性实现对万古霉素的持续释放，符合聚合物载体的可控释放设计特征，且具有环境响应性（释放行为受扩散控制）。,Polycaprolactone (PCL),Composite beads,Diffusion-controlled release (受材料孔隙率和均一性影响，无明确外部刺激响应，但释放行为为扩散主导),Vancomycin,Drug,,,,,,"Phosphate-buffered saline (PBS) at 37°C (in vitro, no specific physiological trigger)","Sustained release over 4–11 weeks, diffusion-controlled release as per Peppas equation"
5b49302d-87a8-46c7-9143-6e553c832f9c,Surfactant-polymer nanoparticles: A novel platform for sustained and enhanced cellular delivery of water-soluble molecules,本研究旨在评估Aerosol OTi (AOT)-alginate纳米颗粒作为水溶性分子细胞递送载体的潜力。采用乳化-交联技术制备AOT-海藻酸钠纳米颗粒，以罗丹明和阿霉素为模型水溶性药物。体外释放实验显示，阿霉素在15天内持续释放。细胞实验表明，纳米颗粒使罗丹明细胞摄取量较游离药物提高约10倍，且摄取呈剂量、时间及能量依赖性；纳米颗粒组药物细胞内滞留显著高于游离药物组。细胞毒性实验显示，阿霉素纳米颗粒组表现出更强且更持久的细胞毒性。结果表明，AOT-海藻酸钠纳米颗粒可显著增强碱性水溶性药物的细胞递送效率，提升其治疗效果，适用于具有细胞内作用靶点的药物递送。,"Drug Delivery, Natural Polymers, Polysaccharides",TRUE,使用AOT-海藻酸盐纳米颗粒作为聚合物载体，通过乳化交联技术构建，实现水溶性药物的控释和细胞内递送，具有持续释放特性，符合聚合物载体的环境响应与可控释放核心特征,Aerosol OT (AOT) and Sodium Alginate,Nanoparticles,"Sustained release over 15-day period (in vitro), attributed to the polymer-surfactant interaction and crosslinking structure","Doxorubicin, Rhodamine",Drug,,,,,,In vitro conditions (no specific environmental trigger mentioned),Sustained release over a 15-day period
5a8f0f00-380b-4e10-90c1-4876ae896808,Growth factor release from thermally reversible tissue culture substrates,本研究旨在开发一种基于热响应性聚*N*-异丙基丙烯酰胺（PIPAAm）的可逆细胞培养基质，用于实现生长因子的可控释放。通过将PIPAAm共价接枝至组织培养皿表面，构建热可逆界面：在37°C（生理温度）下，PIPAAm呈疏水性，支持细胞贴附与生长；降至20°C（室温）时，其转为亲水性，使细胞无损脱落。该接枝聚合物基质可负载并缓释生长因子等生物分子，释放行为受PIPAAm接枝密度调控——接枝密度为2.5 μg/cm²的基质比1.8 μg/cm²者在4小时内释放约4倍的模型蛋白（胰蛋白酶、胰岛素）。体外实验表明，负载胰岛素的基质显著促进人视网膜色素上皮细胞（RPE）增殖，且细胞仍可完整以单个或汇合片状形式脱离表面。该系统通过局部高浓度释放实现对细胞基底侧的靶向信号刺激，避免了传统批量添加带来的非生理刺激，为组织工程中细胞功能维持与可控递送提供了新策略。,"Drug Delivery, Synthetic Polymers, Polyamino Acids",FALSE,该研究聚焦于热响应性聚合物聚N-异丙基丙烯酰胺（PIPAAm）在组织培养表面的共价接枝，用于细胞可逆脱落和蛋白质（如胰岛素、胰蛋白酶）的控释。虽然涉及聚合物载体与生物分子递送，但负载物为非活性微生物（生长因子/蛋白），且递送系统为二维表面材料，不涉及微胶囊、水凝胶颗粒、静电纺丝等典型递送结构，也未体现对微生物的保护或释放行为。核心关注点是细胞培养表面功能化与蛋白释放动力学，而非针对微生物的靶向递送或环境响应控释系统，因此不符合【Polymer for Delivery】中对微生物或复杂载体结构的定义。,Poly N-isopropylacrylamide (PIPAAm),Covalently grafted hydrogel layer on tissue culture dish,Thermal response (LCST ~32°C): hydrophobic (above LCST) to hydrophilic (below LCST) transition causing swelling/deswelling and protein release,"Growth factors (e.g., insulin, trypsin)",Drug,,,,,,"Temperature decrease below LCST (~32°C), e.g., from 37°C to 20°C","Sustained release over 4 hours, dependent on PIPAAm grafting density; higher grafting density (2.5 μg/cm²) led to fourfold greater release than lower density (1.8 μg/cm²)"
5ab73ed0-b79d-4053-a7f0-ba8423d3e8b7,"Drug release from α,β-poly(N-2-hydroxyethyl)-DL-aspartamide-based microparticles","本研究旨在制备基于α,β-聚(N-2-羟乙基)-dl-天冬酰胺（PHEA）的pH响应型微球，以实现药物的控释。通过部分衍生化PHEA与环氧甲基丙烯酸酯（GMA）得到PHEA-GMA共聚物（PHG），再以反相悬浮聚合法在丙烯酸（AA）或甲基丙烯酸（MA）存在下进行自由基交联，形成pH敏感水凝胶微球。微球经FT-IR、粒径分布及扫描电镜表征，水合实验显示其在模拟胃肠液中具有pH依赖性溶胀行为。选取溶胀性最佳的微球负载不同药物，开展体外释放研究，结果表明药物释放速率受环境pH及药物化学结构影响，验证了其作为pH响应型药物递送系统的潜力。","Drug Delivery, Synthetic Polymers, Polyamino Acids",TRUE,"使用α,β-聚(N-2-羟乙基)-dl-天冬酰胺（PHEA）与缩水甘油甲基丙烯酸酯（GMA）共聚物（PHG）通过反相悬浮聚合制备pH响应型微球，引入丙烯酸（AA）或甲基丙烯酸（MA）进行交联，实现对药物释放的pH调控，符合聚合物设计与环境响应的核心特征。","α,β-poly(N-2-hydroxyethyl)-dl-aspartamide (PHEA) with glycidylmethacrylate (GMA) copolymer (PHG), acrylic acid (AA), methacrylic acid (MA)",Microparticles,"pH-sensitive swelling (swelling increases at higher pH, e.g., intestinal pH)",Various drugs,Drug,,,,,,pH 7.4 (simulated intestinal fluid),Sustained release (controlled release dependent on pH and drug chemical structure)
5a3a01b7-13d5-4413-a95c-c24d20ece832,Investigation of the physicochemical stability of emulgels composed of poloxamer 407 and different oil phases using the Quality by Design approach,本研究采用Quality by Design（QbD）方法，开发含Poloxamer 407与不同油相（芝麻油Sesame Oil或异丙基肉豆蔻酸酯Isopropyl Myristate）的乳凝胶（Emulgels），并考察其理化稳定性。选用Carbopol 974P®或Polycarbophil作为生物黏附性聚合物，通过六次冻融循环评估外观、相分离（断裂）、粒径及不稳定性指数。结果表明，低浓度生物黏附聚合物易导致相分离，且系统呈多分散性，粒径随冻融循环变化。结合分析离心法，QbD方法筛选出稳定配方，其溶胶-凝胶转变温度适宜，具备良好的凝胶性能，适用于未来药物递送的药用与生物医学应用。,"Drug Delivery, Synthetic Polymers, Polyethylene Glycol",FALSE,该研究聚焦于基于聚氧乙烯-聚氧丙烯嵌段共聚物（Poloxamer 407）和不同油相（芝麻油、异丙基肉豆蔻酸酯）的乳化凝胶的物理化学稳定性，采用质量源于设计（QbD）方法优化配方。虽然涉及聚合物（Poloxamer 407、Carbopol 974P®、Polycarbophil）和载体结构（乳化凝胶），但其核心目标是评估乳化凝胶在冻融循环下的稳定性、相分离行为及溶胶-凝胶转变温度，未涉及任何活性负载物（如药物或微生物）的封装、保护或响应性释放。因此，不满足【Polymer for Delivery】的核心特征，即聚合物用于实现刺激响应或可控释放以保护或递送活性物质。,"Poloxamer 407, Carbopol 974P®, Polycarbophil",Emulgel (乳化凝胶),Sol-gel transition temperature (溶胶-凝胶转变温度),,,,,,,,,
5a1966e3-6c38-410c-827d-135bf16d45f6,Moderate Level Exposure to Magnetic Nanodots Encased in Tunable Poly(ethylene glycol) Analouge Biopolymer Shell Do Not Deleteriously Affect Neurite Outgrowth,本研究开发了一种单分散磁性纳米点（Magnetic Nanodots），其表面包覆可远程调控的聚乙二醇类似物生物聚合物壳（tunable poly(ethylene glycol) analogue biopolymer shell），旨在实现中枢神经系统（CNS）损伤治疗的组合式递送。该系统具有水分散性好、响应外磁场、在生理温度附近发生体积相变等特性，适用于按需释放药物。实验以嗜铬细胞瘤细胞系PC12为模型，评估纳米点的细胞摄取及对神经突起生长（neurite outgrowth）的影响。结果显示，纳米点在3小时内即可被细胞摄取至胞质，且未显著影响细胞形态、神经突起的启动或伸长。在中等暴露水平下，处理组与对照组在神经突起生长方面无显著差异。研究证实该纳米系统具有良好的生物相容性，具备精准靶向递送治疗剂、调控细胞功能的潜力，为促进轴突再生与突触形成提供了新型纳米生物技术平台。,"Drug Delivery, Synthetic Polymers, Polyethylene Glycol",FALSE,该研究聚焦于磁性纳米点在聚乙二醇类似物生物聚合物壳中的构建及其对神经突生长的影响，未涉及任何负载物（如药物或活性微生物）的递送与控释行为。载体设计虽具有响应性（如外部磁场响应和生理温度下的体积转变），但其主要功能是作为物理刺激载体而非用于递送或释放活性物质，且未涉及任何微生物负载或其活性保护与释放数据。,Poly(ethylene glycol) analogue biopolymer,Nanosphere (纳米球),Response to external magnetic field and volumetric transition near physiological temperatures,,Drug,,,,,,,
59de2de4-09f2-4fed-b8b0-40e78b19a875,Proliferation and differentiation of human mesenchymal stem cell encapsulated in polyelectrolyte complexation fibrous scaffold,本研究构建了人源间充质干细胞（hMSCs）包封于聚电解质复合（PEC）纤维支架中的3D生物功能支架，比较了细胞包封与细胞接种于PEC纤维支架上在5.5周内增殖及软骨/成骨分化能力。hMSCs被包封于PEC纤维中并组装成纤维支架，或直接接种于PEC纤维支架表面。在软骨诱导和成骨诱导培养基中，两种方式均显示软骨和成骨相关基因表达及细胞外基质（ECM）生成，但包封组细胞增殖与分化能力显著优于接种组。PEC纤维支架可有效支持hMSCs的长期存活、增殖及多向分化。结合前期研究中PEC纤维在药物、蛋白及基因递送中的可控释放性能，该系统具备构建多组分、多功能组织工程支架的潜力，适用于需空间调控信号分子的复杂组织再生。,"Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该研究聚焦于将人间充质干细胞（hMSCs）封装在聚电解质复合（PEC）纤维支架中，以支持其增殖和向软骨及成骨方向分化。虽然涉及聚合物载体（PEC纤维）和细胞递送，但其核心目标是组织工程支架的构建与细胞行为调控，而非基于环境响应（如pH、酶等）的可控释放或保护性递送。负载物为干细胞，未涉及微生物，且未展示对负载物的保护性或响应性释放行为，因此不符合【Polymer for Delivery】的核心特征。,Polyelectrolyte complexation (PEC) fibers,Fibrous scaffold,,Human mesenchymal stem cells (hMSCs),Drug,,,,,,,
599331cc-c21f-45a4-944b-05ffce2f81d6,Preparation and biological evaluation of multifunctional PLGA-nanoparticles designed for photoacoustic imaging,本研究旨在开发一种可生物降解的多功能PLGA纳米颗粒，用于近红外（NIR）光声（PA）成像。通过喷雾干燥法将近红外染料IR5/IR26包载于含50 mol%乙醇酸的聚（乳酸-共-乙醇酸）（PLGA）中，制备出亚微米级球形纳米颗粒，包封效率＞87%，产率＞75%。经离心分离获得两种粒径范围：445–540 nm和253–305 nm。纳米颗粒在Nd:YAG激光（1064 nm）激发下表现出优异的PA信号。体外实验表明，人肝癌细胞（HepG2）和猴肾细胞（Vero）在暴露于最高10 μg·mL⁻¹浓度的颗粒2天后，细胞活力、线粒体活性、增殖及细胞死亡均无显著变化，显示良好生物相容性。该研究证实，IR5/IR26负载的PLGA纳米颗粒兼具强NIR吸收与良好生物安全性，是一种具有潜力的可降解PA成像对比剂。,"Drug Delivery, Synthetic Polymers, Polyesters",FALSE,该研究聚焦于基于PLGA的纳米颗粒作为光声成像对比剂，负载的是近红外染料（IR5/IR26），而非活性微生物。聚合物设计虽具有可控释放潜力，但未涉及环境响应性释放或递送机制的详细研究，且核心目标为成像而非药物/微生物递送。因此不符合【Polymer for Delivery】的核心特征。,PLGA (poly[(rac-lactide)-co-glycolide]),Submicron-sized spherical nanoparticles,,IR5/IR26 (near-infrared dyes),Drug,,,,,,,
59c2cbb5-7807-4cbe-9c88-4238d0518e3e,Physicochemical properties and enhanced cellullar responses of biocompatible polymeric scaffolds treated with atmospheric pressure plasma using O2 gas,本研究旨在通过大气压等离子体（AP plasma）结合O₂气体处理，改善聚(ε-己内酯)（P）/明胶（G）/DMEM+10%胎牛血清（D）复合多孔支架（PGD）的表面性能与细胞相容性。采用电纺技术制备PGD支架，随后进行O₂等离子体处理获得O-PGD支架。通过XPS、FTIR、接触角、力学测试等表征其理化性质，结果显示G与D的引入及O₂等离子体处理显著提升了表面亲水性与生物活性。MTT、细胞附着率、SEM与共聚焦显微镜分析表明，CHO-K1细胞在PGD与O-PGD支架上的黏附率、增殖活性及长期存活率均显著优于纯P与PG支架。结果证实，PGD与O-PGD支架具有优异的细胞生长支持能力，可作为组织工程中理想的生物相容性支架材料。,"Drug Delivery, Natural Polymers, Proteins",FALSE,该研究聚焦于聚ε-己内酯（P）与明胶（G）及DMEM培养基混合制备的多孔支架，并通过大气压氧等离子体处理改善其表面性质，以促进细胞附着和生长。研究未涉及任何聚合物载体的刺激响应性设计、可控释放机制或负载物（如药物或微生物）的递送行为，因此不符合【Polymer for Delivery】的核心特征。,"Poly(ε-caprolactone) (P), Gelatin (G), Dulbecco's modified Eagle's medium (D)",Electrospun fibrous scaffold,,Chinese Hamster Ovary (CHO)-K1 cells,Drug,,,,,,,
5921680f-ad23-4bb3-af1c-5fa5675d0557,The reflection of the texture of swollen polymer matrix on the release of incorporated substance,"本研究旨在探究水化生物聚合物基质（Xanthan/Locust Bean Gum, XLBG）的质地特性对包载药物（Pentoxifylline）释放行为的影响。采用XLBG作为控释基质，通过药物释放、溶胀、侵蚀、流变学、质地分析及扫描电镜（SEM）等方法，系统评估其在含/不含200 mM CaCl₂条件下的结构-释放关系。结果表明：XLBG基质在水中可实现Pentoxifylline 24小时持续释放，而乳糖对照组仅30分钟即释放完毕。尽管Ca²⁺存在时XLBG溶胀与侵蚀降低，但其凝胶层更致密、更薄，因Ca²⁺与Xanthan羧基结合导致反离子凝聚，增强聚合物间相互作用，反而释放加快。SEM与质地分析显示，Ca²⁺使凝胶结构更致密，但自由水含量升高，促进药物溶解与扩散。研究揭示：XLBG凝胶结构的质地特性（如致密性、自由水分布）对释放起主导作用，低溶胀/低侵蚀并不必然延长释放，与传统聚合物（如海藻酸盐、纤维素醚）行为相反。","Drug Delivery, Natural Polymers, Polysaccharides",TRUE,使用黄原胶-刺槐豆胶（XLBG）复合水凝胶作为聚合物基质，通过调控其凝胶结构和响应性（如Ca²⁺离子诱导的交联与结构致密化）实现对药物的控释，体现了聚合物设计与环境响应性对释放行为的调控，符合聚合物递送系统的核心特征。,"Xanthan gum, Locust bean gum",Hydrogel matrix,Ca²⁺离子诱导的凝胶结构变化（离子交联导致更致密、更薄的凝胶层，增强水分子自由度，促进扩散）,Pentoxifylline,Drug,,,,,,pH 7.4（模拟肠液环境）,Sustained release（24小时持续释放），在无Ca²⁺条件下释放更慢；Ca²⁺存在下虽膨胀和侵蚀减少，但因凝胶结构更致密且自由水增多，反而加快释放
58f9d02b-ead5-4ed2-94e5-554019f8f47c,Development of technologies aiding large-tissue engineering,本研究旨在开发用于构建大体积自体软组织的集成化组织工程技术，以应对乳腺切除术等临床需求。核心策略包括：(1) 采用聚乳酸-羟基乙酸共聚物（PLGA）构建具有可调机械强度的结构支架，通过调控乳酸（Lactide）与乙醇酸（Glycolide）比例实现抗压性能优化；(2) 利用聚乙醇酸（PGA）纤维基质作为空间填充基质，优化平滑肌细胞（Smooth Muscle Cells）的接种与体外/体内组织形成；(3) 开发PLGA微球药物递送系统，实现血管内皮生长因子（VEGF）的局部缓释，促进新生血管化。该多技术整合方案旨在解决大体积软组织工程中的空间维持、细胞定位与血管化三大关键挑战，最终实现功能性自体组织的体外构建与临床应用。,"Drug Delivery, Synthetic Polymers, Polyesters",FALSE,论文聚焦于组织工程中大体积软组织的构建，使用聚乳酸-羟基乙酸共聚物（PLGA）作为结构支架和微球载体，但其核心在于支架结构设计与细胞移植，而非聚合物载体的刺激响应性或可控释放机制。虽然提到了PLGA微球用于VEGF的缓释，但未详细描述响应机制（如pH/酶/ROS响应）或控释动力学，且未涉及活性微生物负载。因此不符合【Polymer for Delivery】的核心特征。,PLGA (Polylactic-co-glycolic acid),Structural framework / Space-filling matrix,,Vascular Endothelial Growth Factor (VEGF),Drug,,,,,,Biodegradation of PLGA microspheres in vivo,"Sustained release (implied by controlled degradation, but no kinetic data provided)"
5895d306-55ef-4fb5-b820-3dc310f26c34,Regulation of cell proliferation by multi-layered phospholipid polymer hydrogel coatings through controlled release of paclitaxel,"本研究通过层叠自组装（LbL）工艺，在钛合金（Ti）表面构建多层磷脂聚合物水凝胶，采用水溶性磷脂聚合物（PMBV）与聚乙烯醇（PVA）交替沉积，利用PMBV中硼酸基团与PVA羟基间可逆共价键形成稳定结构。PMBV具有疏水域，可有效包裹疏水性药物紫杉醇（Paclitaxel, PTX），作为药物储库。通过将PTX分别负载于顶层（top-type）或底层（bottom-type）水凝胶，结合无PTX的PMBV/PVA层作为扩散屏障，实现不同释放动力学。top-type水凝胶因初始释放浓度高，导致A431细胞5天内过度抑制增殖；bottom-type则维持稳定细胞数量。释放机制受扩散屏障控制及硼酸-葡萄糖交换反应驱动。细胞周期分析显示PTX处理组细胞阻滞于S期和G2/M期，而对照组无此现象。结果表明，通过LbL构建的多层水凝胶可精准调控PTX释放浓度，实现对细胞增殖的可控调节，为生物医用器械表面局部、持续递送生物活性分子提供新策略。","Drug Delivery, Natural Polymers, Polysaccharides",TRUE,采用层层自组装技术构建多层磷脂聚合物水凝胶涂层，利用pH响应性解离和扩散屏障控制紫杉醇的释放，实现对细胞增殖的精准调控，符合聚合物载体的可控释放设计核心特征。,PMBV (2-Methacryloyloxyethyl phosphorylcholine polymer) and PVA (Polyvinyl alcohol),Multi-layered hydrogel (core-shell-like structure via layer-by-layer process),pH-responsive dissociation via exchange reaction between phenylboronic acid subunits and D-glucose; diffusion-controlled release through non-drug layers,Paclitaxel (PTX),Drug,,,,,,D-glucose in cell culture medium (via exchange reaction with phenylboronic acid subunits),Sustained release (bottom-type hydrogel); burst release observed in top-type due to initial high concentration
58d1b417-9f66-4d4b-a818-e6fdf34238ee,Tailoring pore distribution in polymer films via evaporation induced phase separation,本研究通过蒸发诱导相分离（EIPS）调控PMMA-THF-H₂O体系聚合物膜的孔结构分布。通过调节铸膜液中非溶剂（H₂O）和聚合物（PMMA）浓度、膜厚、相对湿度与温度，系统研究其对相行为、组分路径（CP）及界面微结构演化的影响。实验揭示：不同CP变化及相分离时H₂O/PMMA比值决定了最终膜形貌，包括：（1）致密无孔膜；（2）仅底部有孔；（3）上层致密、下层多孔的非对称膜；（4）全厚度均匀分布的多孔膜；（5）仅顶部有孔的膜。此外，通过调节低/高分子量PMMA比例可进一步调控孔结构。所得生物相容性PMMA多孔膜适用于细胞培养、药物递送与伤口敷料等应用。,"Drug Delivery, Synthetic Polymers, Polyesters",FALSE,该研究聚焦于通过蒸发诱导相分离（EIPS）调控聚甲基丙烯酸甲酯（PMMA）薄膜的孔隙分布，属于聚合物结构设计与制备工艺优化范畴，但未涉及任何负载物（如药物或微生物）的递送、保护或响应性释放行为。因此，不符合【Polymer for Delivery】的核心特征，即聚合物载体用于实现刺激响应或可控释放的药物/微生物递送。,Poly(methyl methacrylate) (PMMA),Asymmetric film / Porous film with uniform pores / Non-porous film,null,null,null,null,null,null,null,null,null,null
589123b0-cf22-4e44-b162-b692f5deccaa,Soft matter at ISIS,本研究利用ISIS中子散射设施的SANS（小角中子散射）与NR（中子反射）技术，系统探究软物质体系中三类关键问题：绿色溶剂（如$H_2O$与$D_2O$替换）、聚合物稳定性及药物递送系统。通过调控样品中氢（$H$）与氘（$D$）的同位素分布，实现对特定组分（如聚合物链、脂质双分子层、胶束）的散射信号增强，从而在纳米尺度上精确解析其尺寸、形貌、结构有序性及界面相互作用。SANS用于分析体相体系中胶束、微乳液、聚合物网络等的聚集行为与相互作用，NR则聚焦于界面薄膜（如脂质单层、聚合物刷）在$Q_z$方向的厚度、密度分布与取向。实验在不破坏样品自然状态的原位条件下进行，避免了干燥等预处理带来的结构扰动，确保结果真实反映系统热力学平衡态。该方法结合同位素标记与多尺度结构表征，为理解复杂软物质体系的构效关系提供了不可替代的工具。,"Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该论文主要介绍中子散射技术（SANS和NR）在软物质研究中的应用，重点涵盖绿色溶剂、聚合物稳定性和药物递送等方向，但未涉及任何具体的聚合物载体设计、刺激响应机制或可控释放行为。研究仅使用中子散射手段对系统结构进行表征，未展示聚合物作为递送载体的工程化设计或功能调控，因此不符合【Polymer for Delivery】的核心特征。,,,,,,,,,,,,
588863d9-2b8f-4813-a634-eb8af6c86df8,Uptake and transport of PEG-graft-trimethyl-chitosan copolymer-insulin nanocomplexes by epithelial cells,"本研究旨在评估壳聚糖及其聚乙二醇化三甲基壳聚糖（PEGylated trimethyl chitosan）共聚物结构对胰岛素纳米复合物在上皮细胞中的摄取与转运影响，并探究其作用机制。通过自组装制备胰岛素纳米复合物，粒径为200–400 nm，带正电荷，胰岛素包封率约90%。体外释放受pH调控。Caco-2细胞摄取实验显示，纳米复合物显著增强胰岛素摄取，且依赖于时间、温度与浓度；抑制实验表明摄取机制为吸附性内吞（adsorptive endocytosis），受细胞骨架（cytochalasin D）和能量代谢（sodium azide, 2,4-dinitrophenol）抑制。细胞摄取效率受聚合物分子量、黏度及正电荷密度共同影响。然而，所有纳米复合物在Caco-2单层模型中2小时后的跨细胞转运效率未优于游离胰岛素，动物实验（糖尿病大鼠鼻黏膜）结果一致。结论：PEG化三甲基壳聚糖-胰岛素纳米复合物可有效促进Caco-2细胞摄取，但未能提升跨细胞转运，提示需进一步优化，且Caco-2模型可预测药物吸收行为。","Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该研究聚焦于胰岛素与聚乙二醇化三甲基壳聚糖共聚物形成的纳米复合物在上皮细胞中的摄取与转运，负载物为化学药物（胰岛素），且聚合物设计涉及分子结构调控（PEG化、电荷密度、分子量）以优化细胞摄取，但未体现环境响应性（如pH/酶响应）或可控释放行为，也未实现靶向递送或缓释功能，因此不符合【Polymer for Delivery】核心特征中对刺激响应或控释设计的要求。,PEGylated trimethyl chitosan,Nanocomplex,,Insulin,Drug,,,,,,pH-dependent release (in vitro),"In vitro release was dependent on medium pH, but no sustained or burst release profile was explicitly described; no evidence of controlled or stimulus-responsive release in physiological context."
5871598f-1711-4097-9d7f-345248d0100a,Preparation and characterization of asiaticoside-loaded alginate films and their potential for use as effectual wound dressings,"本研究旨在开发一种基于海藻酸钠（alginate）的载积雪草苷（Asiaticoside, PAC）水凝胶敷料，用于促进伤口愈合。通过将不同质量分数（2.5%、5%、10%）的PAC与2%（w/v）海藻酸钠水溶液混合，经两步交联法制备薄膜：先以0.05%（w/v）CaCl₂溶液缓慢加入海藻酸钠溶液中形成“混合”薄膜，再浸入2.5%或5% CaCl₂溶液中进一步交联，获得“浸渍”薄膜。PAC因不溶于水，在薄膜中以离散颗粒形式存在。在含10%（v/v）甲醇的磷酸盐缓冲液（PBS）中，PAC通过海藻酸钠基质的溶胀与侵蚀实现释放。通过正常人成纤维细胞（NHDF）的间接细胞毒性试验与直接细胞培养评估，结果表明该材料对皮肤细胞无毒，具有良好的生物相容性，具备作为高效、安全伤口敷料的潜力。","Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该研究仅涉及将药物asiaticoside负载于海藻酸盐基水凝胶薄膜中，用于伤口敷料，未涉及刺激响应性聚合物设计、可控释放机制或微生物递送。负载物为小分子药物（asiaticoside），且释放依赖于溶胀和侵蚀，无环境响应性控制释放设计，不符合【Polymer for Delivery】的核心特征。,Alginate,Hydrogel film,,Asiaticoside,Drug,,,,,,Swelling and erosion in PBS with 10% methanol (v/v),Burst release (implied by erosion-driven release without sustained control)
586ad104-a143-4649-ab76-255fae866d30,Nanoscale Coordination Polymers Codeliver Chemotherapeutics and siRNAs to Eradicate Tumors of Cisplatin-Resistant Ovarian Cancer,本研究开发了一种新型长循环、自组装的核壳型纳米级配位聚合物（NCP）纳米颗粒，用于协同递送顺铂（cisplatin）或顺铂联合吉西他滨（gemcitabine）等化疗药物与靶向多药耐药（MDR）基因的siRNA，以根除顺铂耐药性卵巢癌（cisplatin-resistant OCa）。NCP核心负载高剂量化疗药物，外壳包裹多靶点siRNA，通过新颖的CO₂释放机制实现高效内体逃逸，维持中性表面电荷以保障长循环能力，并在体内有效下调MDR基因表达。该系统显著增强化疗效果数个数量级，经腹腔注射后在皮下及腹腔异种移植小鼠模型中实现低剂量下持久的肿瘤消退与根除，为克服卵巢癌耐药性提供了高效协同治疗策略。,"Drug Delivery, Synthetic Polymers, Polyesters",FALSE,该研究使用纳米级配位聚合物（NCP）作为载体，用于共递送化疗药物和siRNA，但负载物为化学药物和核酸分子，非活性微生物；且其核心设计聚焦于纳米颗粒的自组装、内体逃逸机制及基因沉默功能，未涉及聚合物对负载物的环境响应性释放或微生物保护，因此不符合【Polymer for Delivery】中关于微生物递送或刺激响应控释的核心特征。,Nanoscale Coordination Polymers (NCP),Core-shell structure,Carbon dioxide release-mediated endosomal escape,"Cisplatin, Gemcitabine, siRNAs targeting MDR genes",Drug,,,,,,Endosomal pH and CO2 release,Sustained release with enhanced intracellular delivery via endosomal escape
585de754-da35-432c-bb80-802943650cc9,The effects of ultrasound irradiation on a biodegradable 50 - 50% copolymer of polylactic and polyglycolic acids,"本研究旨在探究超声辐照对聚乳酸-聚甘醇酸共聚物（PLGA, 50-50%）微孔盘状药物递送系统的影响。采用丙酮溶液凝胶浇铸法制备含蛋白的PLGA样品，置于磷酸盐缓冲盐水（PBS）中，每隔两天进行超声辐照。第一阶段（58天）考察超声对蛋白释放动力学的影响；第二阶段（40天）研究超声频率与辐照时长对聚合物降解（分子量损失、质量损失）及整体降解动力学的影响。结果表明，超声辐照使蛋白释放量提高近三倍，且频率与辐照时间显著影响PLGA的降解速率与程度。该研究证实超声可通过空化效应与机械化学作用增强PLGA基药物递送系统的可控释放能力，为实现术后早期高剂量释放（如抗生素）与后续持续释放（如骨生长因子）的动态调控提供了可能。","Drug Delivery, Synthetic Polymers, Polyesters",TRUE,使用PLGA微孔盘状载体，通过超声辐照调控蛋白的控释行为，利用超声诱导的空化效应和机械化学作用改变聚合物降解动力学，实现对药物释放速率的外部调控，符合聚合物响应性设计与可控释放的核心特征。,PLGA (50-50% polylactic and polyglycolic acid copolymer),Microporous disk-shaped specimen,Ultrasound-induced cavitation and mechanochemical degradation leading to accelerated swelling and mass loss,Protein,Drug,,,,,,Ultrasound irradiation (every second day),Burst release enhancement (almost threefold increase in protein elution); release rate modulated by ultrasound frequency and duration
